"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"shared_store_transactions","Shared Store Transactions",50422746,50437317,50429343
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"shared_load_transactions","Shared Load Transactions",268485183,268503770,268495738
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"gld_transactions","Global Load Transactions",133924497,133948283,133936235
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"gst_transactions","Global Store Transactions",2097152,2097152,2097152
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"l2_global_atomic_store_bytes","Bytes written to L2 from L1 for global atomics",0,0,0
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"l2_global_load_bytes","Bytes read from L2 for misses in L1 for global loads",4220698752,4285505536,4255992541
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"l2_read_transactions","L2 Read Transactions",131572066,134085603,133290554
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"l2_write_transactions","L2 Write Transactions",2097185,2121280,2102216
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"dram_read_bytes","Total bytes read from DRAM to L2 cache",549713152,1610063360,1066140192
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"dram_read_transactions","Device Memory Read Transactions",17178536,50314480,33316881
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"dram_write_transactions","Device Memory Write Transactions",2093820,2177148,2112334
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"local_memory_overhead","Local Memory Overhead",0.000000%,1.337583%,0.357274%
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"shared_efficiency","Shared Memory Efficiency",42.083081%,42.086234%,42.084407%
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"shared_utilization","Shared Memory Utilization","Low (3)","Low (3)","Low (3)"
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"ldst_issued","Issued Load/Store Instructions",167919616,167919616,167919616
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"ldst_executed","Executed Load/Store Instructions",167919616,167919616,167919616
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"sm_efficiency","Multiprocessor Activity",91.590339%,98.362814%,97.027118%
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"achieved_occupancy","Achieved Occupancy",0.241852,0.244165,0.242940
"Tesla V100-PCIE-32GB (0)","cosmaSgemm_kernel(float const *, int, float const *, int, float*, int)",100,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
